,StockExchange,code,ISIN
236,WSE,ERGIS,ISIN PLEUFLM00017
237,WSE,ESOTIQ,ISIN PLESTHN00018
239,WSE,ESSYSTEM,ISIN PLESSYS00030
240,WSE,ESTAR,ISIN HU0000089198
241,WSE,EUCO,ISIN PLERPCO00017
243,WSE,EUROCASH,ISIN PLEURCH00011
245,WSE,EUROHOLD,ISIN BG1100114062
247,WSE,EUROTEL,ISIN PLERTEL00011
248,WSE,EVEREST,ISIN PLWDMCP00013
254,WSE,FAMUR,ISIN PLFAMUR00012
257,WSE,FASING,ISIN PLFSING00010
258,WSE,FASTFIN,ISIN PLFSTFC00012
259,WSE,FEERUM,ISIN PLFEERM00018
260,WSE,FENGHUA,ISIN DE000A13SX89
261,WSE,FERRO,ISIN PLFERRO00016
262,WSE,FERRUM,ISIN PLFERUM00014
263,WSE,FMG,ISIN PLTHP0000011
264,WSE,FON,ISIN EE3100145939
265,WSE,FORTE,ISIN PLFORTE00012
274,WSE,GETBACK,ISIN PLGTBCK00297
276,WSE,GETIN,ISIN PLGSPR000014
277,WSE,GETINOBLE,ISIN PLGETBK00012
279,WSE,GINOROSSI,ISIN PLGNRSI00015
281,WSE,GLCOSMED,ISIN PLGLBLC00011
285,WSE,GOBARTO,ISIN PLDUDA000016
288,WSE,GPRE,ISIN NL0012235980
289,WSE,GPW,ISIN PLGPW0000017
298,WSE,GROCLIN,ISIN PLINTGR00013
299,WSE,GRODNO,ISIN PLGRODN00015
300,WSE,GRUPAAZOTY,ISIN PLZATRM00012
302,WSE,GTC,ISIN PLGTC0000037
303,WSE,HANDLOWY,ISIN PLBH00000012
305,WSE,HARPER,ISIN PLHRPHG00023
309,WSE,HELIO,ISIN PLHELIO00014
310,WSE,HERKULES,ISIN PLZRWZW00012
312,WSE,HMINWEST,ISIN PLHMINW00016
313,WSE,HOLLYWOOD,ISIN PLHOLWD00017
317,WSE,HUBSTYLE,ISIN PLGRNKT00019
321,WSE,HYDROTOR,ISIN PLHDRTR00013
324,WSE,I2DEV,ISIN PLI2DVL00014
325,WSE,IALBGR,ISIN PLADVPL00029
326,WSE,IBSM,ISIN PLPLPGR00010
329,WSE,IDEABANK,ISIN PLIDEAB00013
331,WSE,IDEON,ISIN PLCNTZP00010
332,WSE,IDMSA,ISIN PLIDMSA00044
333,WSE,IFCAPITAL,ISIN EE3100143041
334,WSE,IFIRMA,ISIN PLPWRMD00011
335,WSE,IFSA,ISIN EE3100143033
337,WSE,IIAAV,ISIN AT0000A21KS2
338,WSE,IMCOMPANY,ISIN LU0607203980
339,WSE,IMMOBILE,ISIN PLMAKRM00019
341,WSE,IMPEL,ISIN PLIMPEL00011
342,WSE,IMPERA,ISIN PLNFI0700018
343,WSE,IMPEXMET,ISIN PLIMPXM00019
344,WSE,IMS,ISIN PLINTMS00019
345,WSE,INC,ISIN PLINCLT00015
347,WSE,INDYGO,ISIN PLLSTIA00018
348,WSE,INDYKPOL,ISIN PLINDKP00013
349,WSE,INGBSK,ISIN PLBSK0000017
351,WSE,INPRO,ISIN PLINPRO00015
353,WSE,INSTALKRK,ISIN PLINSTK00013
356,WSE,INTERAOLT,ISIN LT0000128621
357,WSE,INTERBUD,ISIN PLINTBD00014
358,WSE,INTERCARS,ISIN PLINTCS00010
359,WSE,INTERFERI,ISIN PLINTFR00023
361,WSE,INTERSPPL,ISIN PLINTSP00038
362,WSE,INTROL,ISIN PLINTRL00013
365,WSE,INVESTORMS,
366,WSE,INVISTA,ISIN PLECMNG00019
368,WSE,IPOPEMA,ISIN PLIPOPM00011
369,WSE,IQP,ISIN PLIQPRT00017
371,WSE,ITMTRADE,ISIN PLBRIJU00010
375,WSE,IZOBLOK,ISIN PLIZBLK00010
376,WSE,IZOLACJA,ISIN PLIZCJR00017
377,WSE,IZOSTAL,ISIN PLIZSTL00015
382,WSE,JHMDEV,ISIN PLJHMDL00018
383,WSE,JJAUTO,ISIN DE000A1TNS70
384,WSE,JSW,ISIN PLJSW0000015
387,WSE,JWCONSTR,ISIN PLJWC0000019
388,WSE,JWWINVEST,ISIN PLJWWNT00018
389,WSE,K2INTERNT,ISIN PLK2ITR00010
392,WSE,KANIA,ISIN PLIZNS000022
394,WSE,KBDOM,ISIN PLTRAST00020
395,WSE,KCI,ISIN PLPONAR00012
396,WSE,KDMSHIPNG,ISIN CY0102492119
398,WSE,KERNEL,ISIN LU0327357389
399,WSE,KETY,ISIN PLKETY000011
400,WSE,KGHM,ISIN PLKGHM000017
401,WSE,KGL,ISIN PLKRKGL00012
402,WSE,KINOPOL,ISIN PLKNOPL00014
406,WSE,KOGENERA,ISIN PLKGNRC00015
408,WSE,KOMPAP,ISIN PLKOMPP00017
409,WSE,KOMPUTRON,ISIN PLKMPTR00012
410,WSE,KONSSTALI,ISIN PLKCSTL00010
414,WSE,KPPD,ISIN PLKPPD000017
416,WSE,KRAKCHEM,ISIN PLKRKCH00019
417,WSE,KREC,ISIN PLKRNRC00012
419,WSE,KREDYTIN,ISIN PLKRINK00014
420,WSE,KREZUS,ISIN PLNFI0200019
421,WSE,KRKA,ISIN SI0031102120
423,WSE,KRUK,ISIN PLKRK0000010
424,WSE,KRUSZWICA,ISIN PLKRUSZ00016
425,WSE,KRVITAMIN,ISIN PLKRVTM00010
426,WSE,KSGAGRO,ISIN LU0611262873
428,WSE,LABOPRINT,ISIN PLLBPRT00013
429,WSE,LARK,ISIN PLPPWK000014
430,WSE,LARQ,ISIN PLCAMMD00032
431,WSE,LCCORP,ISIN PLLCCRP00017
433,WSE,LENA,ISIN PLLENAL00015
434,WSE,LENTEX,ISIN PLLENTX00010
437,WSE,LIBET,ISIN PLLBT0000013
439,WSE,LIVECHAT,ISIN PLLVTSF00010
440,WSE,LOKUM,ISIN PLLKMDW00049
441,WSE,LOTOS,ISIN PLLOTOS00025
442,WSE,LPP,ISIN PLLPP0000011
443,WSE,LSISOFT,ISIN PLLSSFT00016
446,WSE,LUBAWA,ISIN PLLUBAW00013
449,WSE,MABION,ISIN PLMBION00016
451,WSE,MAKARONPL,ISIN PLMKRNP00015
453,WSE,MANGATA,ISIN PLZTKMA00017
455,WSE,MARVIPOL,ISIN PLMRVDV00011
456,WSE,MASTERPHA,ISIN PLMSTPH00016
458,WSE,MAXCOM,ISIN PLMXCMS00016
459,WSE,MBANK,ISIN PLBRE0000012
460,WSE,MBWS,ISIN FR0000060873
461,WSE,MCI,ISIN PLMCIMG00012
463,WSE,MDIENERGIA,ISIN PLNFI1000012
464,WSE,MEDIACAP,ISIN PLEMLAB00018
465,WSE,MEDIATEL,ISIN PLSMMDA00012
466,WSE,MEDICALG,ISIN PLMDCLG00015
467,WSE,MEGARON,ISIN PLMGRON00016
468,WSE,MENNICA,ISIN PLMNNCP00011
469,WSE,MERCATOR,ISIN PLMRCTR00015
470,WSE,MERCOR,ISIN PLMRCOR00016
472,WSE,MEXPOLSKA,ISIN PLMEXPL00010
