,0
158,https://stooq.com/q/g/?s=chp
159,https://stooq.com/q/g/?s=chs
160,https://stooq.com/q/g/?s=cie
161,https://stooq.com/q/g/?s=cig
162,https://stooq.com/q/g/?s=ciga
163,https://stooq.com/q/g/?s=clc
164,https://stooq.com/q/g/?s=cld
165,https://stooq.com/q/g/?s=cle
166,https://stooq.com/q/g/?s=cln
167,https://stooq.com/q/g/?s=cls
168,https://stooq.com/q/g/?s=cmc
169,https://stooq.com/q/g/?s=cmi
170,https://stooq.com/q/g/?s=cmp
171,https://stooq.com/q/g/?s=cmr
172,https://stooq.com/q/g/?s=cng
173,https://stooq.com/q/g/?s=cnt
174,https://stooq.com/q/g/?s=cog
175,https://stooq.com/q/g/?s=com
176,https://stooq.com/q/g/?s=cor
177,https://stooq.com/q/g/?s=cpa
178,https://stooq.com/q/g/?s=cpd
179,https://stooq.com/q/g/?s=cpg
180,https://stooq.com/q/g/?s=cpl
181,https://stooq.com/q/g/?s=cps
182,https://stooq.com/q/g/?s=crj
183,https://stooq.com/q/g/?s=crm
184,https://stooq.com/q/g/?s=crp
185,https://stooq.com/q/g/?s=crs
186,https://stooq.com/q/g/?s=csr
187,https://stooq.com/q/g/?s=csy
188,https://stooq.com/q/g/?s=ctc
189,https://stooq.com/q/g/?s=cte
190,https://stooq.com/q/g/?s=ctf
191,https://stooq.com/q/g/?s=ctg
192,https://stooq.com/q/g/?s=cts
193,https://stooq.com/q/g/?s=cwa
194,https://stooq.com/q/g/?s=cwp
195,https://stooq.com/q/g/?s=czk
196,https://stooq.com/q/g/?s=czt
197,https://stooq.com/q/g/?s=dam
198,https://stooq.com/q/g/?s=dat
199,https://stooq.com/q/g/?s=dbc
200,https://stooq.com/q/g/?s=dbe
201,https://stooq.com/q/g/?s=dcd
202,https://stooq.com/q/g/?s=dcr
203,https://stooq.com/q/g/?s=dek
204,https://stooq.com/q/g/?s=del
205,https://stooq.com/q/g/?s=dev
206,https://stooq.com/q/g/?s=dga
207,https://stooq.com/q/g/?s=dgl
208,https://stooq.com/q/g/?s=din
209,https://stooq.com/q/g/?s=dkr
210,https://stooq.com/q/g/?s=dlk
211,https://stooq.com/q/g/?s=dnp
212,https://stooq.com/q/g/?s=dns
213,https://stooq.com/q/g/?s=dok
214,https://stooq.com/q/g/?s=dom
215,https://stooq.com/q/g/?s=dpl
216,https://stooq.com/q/g/?s=dre
217,https://stooq.com/q/g/?s=drf
218,https://stooq.com/q/g/?s=drp
219,https://stooq.com/q/g/?s=eah
220,https://stooq.com/q/g/?s=eat
221,https://stooq.com/q/g/?s=ebc
222,https://stooq.com/q/g/?s=ebx
223,https://stooq.com/q/g/?s=ec2
224,https://stooq.com/q/g/?s=eca
225,https://stooq.com/q/g/?s=ecc
226,https://stooq.com/q/g/?s=ech
227,https://stooq.com/q/g/?s=eck
228,https://stooq.com/q/g/?s=ecl
229,https://stooq.com/q/g/?s=eco
230,https://stooq.com/q/g/?s=ecr
231,https://stooq.com/q/g/?s=edi
232,https://stooq.com/q/g/?s=edn
233,https://stooq.com/q/g/?s=eex
234,https://stooq.com/q/g/?s=efe
235,https://stooq.com/q/g/?s=efk
236,https://stooq.com/q/g/?s=efx
237,https://stooq.com/q/g/?s=egh
238,https://stooq.com/q/g/?s=egs
239,https://stooq.com/q/g/?s=ehg
240,https://stooq.com/q/g/?s=ekp
241,https://stooq.com/q/g/?s=eks
242,https://stooq.com/q/g/?s=elb
243,https://stooq.com/q/g/?s=elm
244,https://stooq.com/q/g/?s=elq
245,https://stooq.com/q/g/?s=elt
246,https://stooq.com/q/g/?s=elz
247,https://stooq.com/q/g/?s=emc
248,https://stooq.com/q/g/?s=emm
249,https://stooq.com/q/g/?s=emt
250,https://stooq.com/q/g/?s=emu
251,https://stooq.com/q/g/?s=ena
252,https://stooq.com/q/g/?s=ene
253,https://stooq.com/q/g/?s=eng
254,https://stooq.com/q/g/?s=eni
255,https://stooq.com/q/g/?s=enp
256,https://stooq.com/q/g/?s=ent
257,https://stooq.com/q/g/?s=eon
258,https://stooq.com/q/g/?s=epr
259,https://stooq.com/q/g/?s=erb
260,https://stooq.com/q/g/?s=erg
261,https://stooq.com/q/g/?s=ern
262,https://stooq.com/q/g/?s=ers
263,https://stooq.com/q/g/?s=esk
264,https://stooq.com/q/g/?s=ess
265,https://stooq.com/q/g/?s=est
266,https://stooq.com/q/g/?s=etl
267,https://stooq.com/q/g/?s=etx
268,https://stooq.com/q/g/?s=euc
269,https://stooq.com/q/g/?s=eur
270,https://stooq.com/q/g/?s=eve
271,https://stooq.com/q/g/?s=exa
272,https://stooq.com/q/g/?s=exc
273,https://stooq.com/q/g/?s=f51
274,https://stooq.com/q/g/?s=fav
275,https://stooq.com/q/g/?s=fdg
276,https://stooq.com/q/g/?s=fee
277,https://stooq.com/q/g/?s=fer
278,https://stooq.com/q/g/?s=ffi
279,https://stooq.com/q/g/?s=fgt
280,https://stooq.com/q/g/?s=fhd
281,https://stooq.com/q/g/?s=fig
282,https://stooq.com/q/g/?s=fin
283,https://stooq.com/q/g/?s=fkd
284,https://stooq.com/q/g/?s=fld
285,https://stooq.com/q/g/?s=flg
286,https://stooq.com/q/g/?s=fmf
287,https://stooq.com/q/g/?s=fmg
288,https://stooq.com/q/g/?s=fon
289,https://stooq.com/q/g/?s=for
290,https://stooq.com/q/g/?s=fpo
291,https://stooq.com/q/g/?s=fro
292,https://stooq.com/q/g/?s=fsg
293,https://stooq.com/q/g/?s=fte
294,https://stooq.com/q/g/?s=fth
295,https://stooq.com/q/g/?s=fti
296,https://stooq.com/q/g/?s=ftn
297,https://stooq.com/q/g/?s=gal
298,https://stooq.com/q/g/?s=gbk
299,https://stooq.com/q/g/?s=gcn
300,https://stooq.com/q/g/?s=gem
301,https://stooq.com/q/g/?s=gen
302,https://stooq.com/q/g/?s=gki
303,https://stooq.com/q/g/?s=gks
304,https://stooq.com/q/g/?s=glc
305,https://stooq.com/q/g/?s=glg
306,https://stooq.com/q/g/?s=gme
307,https://stooq.com/q/g/?s=gnb
308,https://stooq.com/q/g/?s=gng
309,https://stooq.com/q/g/?s=gnr
310,https://stooq.com/q/g/?s=gob
311,https://stooq.com/q/g/?s=gol
312,https://stooq.com/q/g/?s=gov
313,https://stooq.com/q/g/?s=gpr
314,https://stooq.com/q/g/?s=gpw
315,https://stooq.com/q/g/?s=grc
316,https://stooq.com/q/g/?s=gre
317,https://stooq.com/q/g/?s=gri
318,https://stooq.com/q/g/?s=grm
319,https://stooq.com/q/g/?s=grn
320,https://stooq.com/q/g/?s=gtc
321,https://stooq.com/q/g/?s=gtf
322,https://stooq.com/q/g/?s=gtk
323,https://stooq.com/q/g/?s=gtn
324,https://stooq.com/q/g/?s=gtp
325,https://stooq.com/q/g/?s=gtr
326,https://stooq.com/q/g/?s=gts
327,https://stooq.com/q/g/?s=gty
328,https://stooq.com/q/g/?s=gwr
329,https://stooq.com/q/g/?s=hbg
330,https://stooq.com/q/g/?s=hdr
331,https://stooq.com/q/g/?s=hef
332,https://stooq.com/q/g/?s=hel
333,https://stooq.com/q/g/?s=hld
334,https://stooq.com/q/g/?s=hmi
335,https://stooq.com/q/g/?s=hor
336,https://stooq.com/q/g/?s=hps
337,https://stooq.com/q/g/?s=hrc
338,https://stooq.com/q/g/?s=hrl
339,https://stooq.com/q/g/?s=hrp
340,https://stooq.com/q/g/?s=hrs
341,https://stooq.com/q/g/?s=hrt
342,https://stooq.com/q/g/?s=htn
343,https://stooq.com/q/g/?s=hub
344,https://stooq.com/q/g/?s=i2d
345,https://stooq.com/q/g/?s=i3d
346,https://stooq.com/q/g/?s=iag
347,https://stooq.com/q/g/?s=ibc
348,https://stooq.com/q/g/?s=ibs
349,https://stooq.com/q/g/?s=ica
350,https://stooq.com/q/g/?s=icd
351,https://stooq.com/q/g/?s=ice
352,https://stooq.com/q/g/?s=icp
353,https://stooq.com/q/g/?s=ida
354,https://stooq.com/q/g/?s=ide
355,https://stooq.com/q/g/?s=idg
356,https://stooq.com/q/g/?s=idh
357,https://stooq.com/q/g/?s=idm
358,https://stooq.com/q/g/?s=if4
359,https://stooq.com/q/g/?s=ifa
360,https://stooq.com/q/g/?s=ifc
361,https://stooq.com/q/g/?s=ifi
362,https://stooq.com/q/g/?s=ifm
363,https://stooq.com/q/g/?s=ifr
364,https://stooq.com/q/g/?s=ign
365,https://stooq.com/q/g/?s=igt
366,https://stooq.com/q/g/?s=iia
367,https://stooq.com/q/g/?s=imc
368,https://stooq.com/q/g/?s=img
369,https://stooq.com/q/g/?s=imp
370,https://stooq.com/q/g/?s=ims
371,https://stooq.com/q/g/?s=inb
372,https://stooq.com/q/g/?s=inc
373,https://stooq.com/q/g/?s=ind
374,https://stooq.com/q/g/?s=inf
375,https://stooq.com/q/g/?s=ing
376,https://stooq.com/q/g/?s=ink
377,https://stooq.com/q/g/?s=inl
378,https://stooq.com/q/g/?s=inm
379,https://stooq.com/q/g/?s=inp
380,https://stooq.com/q/g/?s=ins
381,https://stooq.com/q/g/?s=int
382,https://stooq.com/q/g/?s=inv
383,https://stooq.com/q/g/?s=inw
384,https://stooq.com/q/g/?s=iod
385,https://stooq.com/q/g/?s=ipe
386,https://stooq.com/q/g/?s=ipf
387,https://stooq.com/q/g/?s=ipl
388,https://stooq.com/q/g/?s=ipo
389,https://stooq.com/q/g/?s=ipx
390,https://stooq.com/q/g/?s=iqp
391,https://stooq.com/q/g/?s=irl
392,https://stooq.com/q/g/?s=isg
393,https://stooq.com/q/g/?s=ist
394,https://stooq.com/q/g/?s=itb
395,https://stooq.com/q/g/?s=itl
396,https://stooq.com/q/g/?s=itm
397,https://stooq.com/q/g/?s=ius
398,https://stooq.com/q/g/?s=ive
399,https://stooq.com/q/g/?s=izb
400,https://stooq.com/q/g/?s=izo
401,https://stooq.com/q/g/?s=izs
402,https://stooq.com/q/g/?s=jhm
403,https://stooq.com/q/g/?s=jjb
404,https://stooq.com/q/g/?s=jjo
405,https://stooq.com/q/g/?s=jrh
406,https://stooq.com/q/g/?s=jsw
407,https://stooq.com/q/g/?s=jwa
408,https://stooq.com/q/g/?s=jwc
409,https://stooq.com/q/g/?s=jww
410,https://stooq.com/q/g/?s=k2i
411,https://stooq.com/q/g/?s=kan
412,https://stooq.com/q/g/?s=kbd
413,https://stooq.com/q/g/?s=kbj
414,https://stooq.com/q/g/?s=kch
415,https://stooq.com/q/g/?s=kci
416,https://stooq.com/q/g/?s=kdm
417,https://stooq.com/q/g/?s=ker
418,https://stooq.com/q/g/?s=kfm
419,https://stooq.com/q/g/?s=kgh
420,https://stooq.com/q/g/?s=kgl
